DATAFLOW,LAST UPDATE,freq,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Malta,Grams per kilometre,2017,134.5,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Malta,Grams per kilometre,2018,130.5,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Malta,Grams per kilometre,2019,132.2,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Malta,Grams per kilometre,2020,128.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Malta,Grams per kilometre,2021,107.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Malta,Grams per kilometre,2022,91.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Malta,Grams per kilometre,2023,91.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Netherlands,Grams per kilometre,2014,107.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Netherlands,Grams per kilometre,2015,101.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Netherlands,Grams per kilometre,2016,105.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Netherlands,Grams per kilometre,2017,131.3,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Netherlands,Grams per kilometre,2018,127.9,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Netherlands,Grams per kilometre,2019,119.3,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Netherlands,Grams per kilometre,2020,104.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Netherlands,Grams per kilometre,2021,95.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Netherlands,Grams per kilometre,2022,86.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Netherlands,Grams per kilometre,2023,74.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Norway,Grams per kilometre,2021,27.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Norway,Grams per kilometre,2022,17.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Norway,Grams per kilometre,2023,14.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Poland,Grams per kilometre,2014,132.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Poland,Grams per kilometre,2015,129.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Poland,Grams per kilometre,2016,125.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Poland,Grams per kilometre,2017,154.7,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Poland,Grams per kilometre,2018,157.3,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Poland,Grams per kilometre,2019,158,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Poland,Grams per kilometre,2020,146,,
