statinfo,unit,stk_flow,country,year,value
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2018,41.83
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2019,45.06
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2020,46.07
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2021,46.39
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2022,55.13
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2023,63.5
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2009,18.65
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2010,18.51
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2011,18.36
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2012,18.19
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2013,18.03
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2014,17.9
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2015,17.78
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2016,17.68
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2017,17.56
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2018,17.43
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2019,17.29
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2020,17.99
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2021,17.87
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2022,17.72
Thirty-year average,"Current prices, euro per capita",Losses,Liechtenstein,2023,17.57
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2009,13.13
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2010,13.41
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2011,13.24
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2012,13.42
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2013,13.54
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2014,13.65
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2015,13.77
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2016,13.94
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2017,20.79
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2018,20.96
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2019,21.02
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2020,21.03
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2021,21.04
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2022,12.09
Thirty-year average,"Current prices, euro per capita",Losses,Lithuania,2023,16.84
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2009,54.37
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2010,55.56
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2011,54.34
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2012,53.05
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2013,51.84
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2014,50.63
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2015,49.45
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2016,51.66
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2017,50.42
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2018,49.46
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2019,56.94
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2020,16.02
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2021,25.36
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2022,24.86
Thirty-year average,"Current prices, euro per capita",Losses,Luxembourg,2023,23.41
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2009,9.7
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2010,9.9
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2011,8.74
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2012,8.85
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2013,8.94
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2014,9.03
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2015,9.1
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2016,9.19
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2017,17.68
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2018,19.89
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2019,20.03
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2020,20.17
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2021,20.34
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2022,20.4
Thirty-year average,"Current prices, euro per capita",Losses,Latvia,2023,20.72
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2009,1.7
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2010,1.69
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2011,1.76
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2012,1.75
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2013,1.73
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2014,1.69
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2015,1.65
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2016,1.61
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2017,1.57
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2018,1.52
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2019,3.24
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2020,3.17
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2021,3.15
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2022,3.08
Thirty-year average,"Current prices, euro per capita",Losses,Malta,2023,3.08
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2009,14.86
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2010,14.79
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2011,14.74
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2012,14.69
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2013,15.19
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2014,15.13
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2015,15.12
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2016,17.08
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2017,16.98
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2018,16.88
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2019,16.86
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2020,11.82
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2021,13.19
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2022,14.46
Thirty-year average,"Current prices, euro per capita",Losses,Netherlands,2023,14.11
Thirty-year average,"Current prices, euro per capita",Losses,Norway,2009,18.16
Thirty-year average,"Current prices, euro per capita",Losses,Norway,2010,17.86
Thirty-year average,"Current prices, euro per capita",Losses,Norway,2011,19.26
Thirty-year average,"Current prices, euro per capita",Losses,Norway,2012,19.22
Thirty-year average,"Current prices, euro per capita",Losses,Norway,2013,20.26
